Designator,Mid X,Mid Y,Rotation,Layer
C1,129.286,-94.653,270,top
C2,97.282,-84.9121,90,top
C3,112.7505,-94.1705,180,top
C4,95.0214,-84.325,90,top
C5,104.2415,-94.107,0,top
C6,126.1109,-97.9043,180,top
C7,129.413,-87.922,270,top
C8,123.571,-71.8185,270,top
C9,128.143,-75.8795,90,top
C10,114.643,-82.8675,180,top
C11,120.272,-79.629,0,top
C12,133.7565,-87.884,0,top
C13,133.769,-93.599,0,top
C14,77.6956,-83.9724,0,top
C15,113.033,-75.4888,0,top
C16,124.968,-80.1115,90,top
C17,89.7098,-96.1898,0,top
C18,103.7844,-74.8508,90,top
C19,113.027,-79.1972,180,top
C20,89.6844,-82.9056,0,top
C21,89.6904,-90.5256,0,top
C22,113.033,-71.755,0,top
C23,60.2488,-105.6416,90,top
C24,93.472,-79.4765,270,top
C25,62.8142,-105.6416,90,top
C26,84.9122,-108.7627,270,top
C27,100.965,-79.5021,90,top
C28,96.012,-103.6798,90,top
C29,99.06,-79.5021,270,top
C30,90.9575,-107.3912,0,top
C31,87.6045,-103.0224,180,top
C32,103.0732,-109.4964,270,top
C33,85.1886,-76.2762,180,top
C34,77.721,-80.4164,180,top
C35,98.7806,-101.47,90,top
C36,70.9676,-114.0715,270,top
C37,72.7202,-114.0713,270,top
C38,66.1923,-107.1372,0,top
C39,81.1814,-104.2162,0,top
C40,81.2068,-107.7722,0,top
C41,149.4315,-78.864,270,top
C42,93.0148,-69.0118,0,top
C43,149.4315,-88.643,90,top
D1,103.0572,-105.1204,0,top
D2,72.7456,-96.3712,90,top
FB1,124.587,-114.7205,270,top
FB2,128.0415,-79.375,180,top
FB3,109.347,-114.746,270,top
FB4,111.9,-114.7125,270,top
FB5,114.427,-114.7715,270,top
FB6,117,-114.7125,270,top
FB7,119.507,-114.708,270,top
FB8,122,-114.708,270,top
FB9,127.1,-114.708,270,top
FB10,129.667,-114.746,270,top
FB11,132.207,-114.657,270,top
FB12,72.0598,-89.027,0,top
FB13,72.0851,-86.9188,0,top
FB14,72.0851,-85.0138,0,top
FB15,72.0597,-83.0834,0,top
FB16,72.0343,-81.153,0,top
FB17,111.8746,-104.4029,270,top
FB18,114.3746,-104.4029,270,top
FB19,119.4816,-104.2904,270,top
FB20,121.9746,-104.3029,270,top
FB21,124.5616,-104.3029,270,top
FB22,129.6746,-104.3029,270,top
FB23,132.1746,-104.3029,270,top
IC2,99.441,-73.7266,270,top
IC3,92.0242,-102.5048,270,top
IC4,97.7742,-109.982,0,top
J2,140.8,-83.55,90,top
L1,74.0482,-105.5624,0,top
LED1,165,-108.6,0,top
LED2,165,-101.4,180,top
LED3,165,-69,180,top
LED4,165,-72.6,180,top
LED5,165,-76.2,180,top
LED6,165,-79.8,180,top
LED7,165,-87,180,top
LED8,165,-90.6,180,top
LED9,165,-94.2,180,top
LED10,165,-97.8,180,top
LED11,165,-105,180,top
LED12,165,-83.4,180,top
Q1,133.1136,-90.7152,180,top
R1,128.5495,-68.5165,180,top
R2,128.524,-70.4215,180,top
R3,126.0475,-71.2725,90,top
R4,110.1725,-97.625,90,top
R5,108.3565,-94.1578,0,top
R7,88.6207,-85.6234,0,top
R8,116.7384,-79.2227,90,top
R9,102.8192,-79.5275,90,top
R10,85.8774,-84.2773,90,top
R11,109.1946,-75.7935,270,top
R12,108.9661,-72.5424,180,top
R13,85.0138,-102.1589,90,top
R14,82.3213,-101.4222,180,top
R15,109.1692,-79.2225,270,top
R16,87.6045,-101.2952,0,top
R18,59.817,-109.5501,270,top
R19,88.646,-87.6808,0,top
R20,106.3498,-71.6533,270,top
R21,108.9659,-70.9168,0,top
R22,95.377,-76.1999,270,top
R24,95.377,-79.4767,270,top
R25,84.963,-105.4862,90,top
R26,97.2312,-79.5021,90,top
R27,86.7664,-105.5115,270,top
R28,88.4682,-105.5625,90,top
R29,98.7045,-105.1052,180,top
R30,81.8642,-80.2894,90,top
R31,106.7816,-114.7573,90,top
R33,88.1379,-109.5248,0,top
R34,103.2511,-114.0968,180,top
R35,99.9745,-114.0968,180,top
R36,96.685,-114.1095,180,top
R37,158.601,-90.2335,180,top
R38,88.4555,-69.7865,90,top
R39,90.2716,-69.7737,90,top
R40,59.817,-112.9537,270,top
R41,158.601,-103.124,180,top
R42,158.5375,-80.0735,180,top
R43,158.5375,-82.6135,180,top
R44,158.512,-85.1535,180,top
R45,158.601,-87.6935,180,top
R46,158.601,-92.7735,180,top
R47,158.6645,-95.3135,180,top
R48,158.601,-97.8535,180,top
R49,158.639,-100.3935,180,top
R50,158.639,-105.8545,180,top
R52,64.1351,-115.1382,0,top
R53,70.9676,-110.9725,270,top
R54,75.3619,-111.6076,180,top
R55,74.5744,-114.0713,270,top
R56,158.5755,-77.5335,0,top
SW1,104.5476,-98.751,180,top
T1,82.8388,-83.9572,0,top
T2,100.1174,-84.902,180,top
T3,129.667,-100.6508,270,top
T4,108.7526,-104.1052,90,top
U1,121.6806,-89.3866,180,top
U2,134.493,-83.439,0,top
U3,113.1316,-100.6904,270,top
U4,122.8242,-100.4238,270,top
U5,66.202,-110.9252,0,top
X1,97.6122,-90.483,0,top
